Name,Price,Location,Mileage,URL
2007 Honda civic Si Coupe 2D,"$6,000","Paterson, NJ",112K miles,https://www.facebook.com/marketplace/item/1130544854743880/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2003 Honda civic Si Hatchback 2D,"$6,500","Brooklyn, NY",121K miles,https://www.facebook.com/marketplace/item/761224149409511/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic Si Coupe 2D,"$6,500","Bridgeport, CT",155K miles,https://www.facebook.com/marketplace/item/758710612912882/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda civic Si Sedan 4D,"$6,000","Allentown, PA",145K miles,https://www.facebook.com/marketplace/item/963730948237895/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Honda civic EX Sedan 4D,"$6,750","Bronx, NY",167K miles,https://www.facebook.com/marketplace/item/1108552537046021/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda civic 4DSD,"$6,900","Woodcliff Lake, NJ",131K miles,https://www.facebook.com/marketplace/item/1696109621197712/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Honda civic Si Coupe 2D,"$2,200","Elizabeth, NJ",88K miles,https://www.facebook.com/marketplace/item/1815426452288988/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Honda civic EX Sedan 4D,"$1,800","Bronx, NY",98K miles,https://www.facebook.com/marketplace/item/1111762116715649/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Honda civic,"$7,000","Paramus, NJ",116K miles,https://www.facebook.com/marketplace/item/1491453075087406/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004 Honda civic Si Hatchback 2D,"$5,000","Roselle, NJ",92K miles,https://www.facebook.com/marketplace/item/458837863132476/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda civic Si Sedan 4D,"$5,400","Willingboro, NJ",136K miles,https://www.facebook.com/marketplace/item/7474383029291438/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Honda civic EX Sedan 4D,"$2,700","Brooklyn, NY",120K miles,https://www.facebook.com/marketplace/item/788971556531894/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022 Honda civic Sport Sedan 4D,"$2,000","New York, NY",82K miles,https://www.facebook.com/marketplace/item/3691165241211471/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021 Honda civic type r Limited Edition Hatchback Sedan 4D,"$4,000","Queens Village, NY",150K miles,https://www.facebook.com/marketplace/item/1126576545248569/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda civic LX Coupe 2D,"$5,500","Keyport, NJ",91K miles,https://www.facebook.com/marketplace/item/1088735895565494/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Honda civic EX Hatchback 4D,"$6,525","Perth Amboy, NJ",68K miles,https://www.facebook.com/marketplace/item/812733660253871/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002 Honda civic Si Hatchback 2D,"$5,500","West Babylon, NY",150K miles,https://www.facebook.com/marketplace/item/1500955300499847/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
