Name,Price,Location,Mileage,URL
2009 Honda civic VP Sedan 4D,"$3,999","Clifton, NJ",120K miles,https://www.facebook.comN/A
2008 Honda civic EX Coupe 2D,"$4,500","Paterson, NJ",125K miles,https://www.facebook.comN/A
2005 Honda civic LX Sedan 4D,"$4,000","Newburgh, NY",138K miles,https://www.facebook.comN/A
2007 Honda civic LX Sedan 4D,"$3,900","Paterson, NJ",163K miles,https://www.facebook.comN/A
2009 Honda civic EX Sedan 4D,"$4,999","Paterson, NJ",140K miles,https://www.facebook.comN/A
2006 Honda civic EX Coupe 2D,"$4,300","Totowa, NJ",135K miles,https://www.facebook.comN/A
2006 Honda civic LX Coupe 2D,"$3,800","Wayne, NJ",130K miles,https://www.facebook.comN/A
2009 Honda civic EX Sedan 4D,"$4,499","Paterson, NJ",120K miles,https://www.facebook.comN/A
2008 Honda civic EX Sedan 4D,"$2,800","Emerson, NJ",178K miles,https://www.facebook.comN/A
2010 Honda civic LX Sedan 4D,"$4,350","East Hanover, NJ",153K miles,https://www.facebook.comN/A
2004 Honda civic LX Sedan 4D,"$5,000","Flushing, NY",86K miles,https://www.facebook.comN/A
2010 Honda civic EX Sedan 4D,"$5,000","Hasbrouck Heights, NJ",111K miles,https://www.facebook.comN/A
2010 Honda civic EX Sedan 4D,"$3,800","Flushing, NY",89K miles,https://www.facebook.comN/A
2008 Honda civic EX Coupe 2D,"$4,500","Paterson, NJ",125K miles,https://www.facebook.comN/A
2008 Honda civic EX Coupe 2D,"$3,500","Brooklyn, NY",161K miles,https://www.facebook.comN/A
2007 Honda civic EX Sedan 4D,"$3,500","Newark, NJ",125K miles,https://www.facebook.comN/A
2006 Honda Civic,"$3,500","New Rochelle, NY",144K miles,https://www.facebook.comN/A
2004 Honda civic EX Sedan 4D,"$2,800","Staten Island, NY",116K miles,https://www.facebook.comN/A
2010 Honda civic LX Coupe 2D,"$4,800","Passaic, NJ",N/A,https://www.facebook.comN/A
2010 Honda civic,"$4,200","Jersey City, NJ",159K miles,https://www.facebook.comN/A
2004 Honda civic Hybrid Sedan 4D,"$4,800","Ridgefield, NJ",107K miles,https://www.facebook.comN/A
2005 Honda civic LX Sedan 4D,"$2,000","West Springfield, MA",149K miles,https://www.facebook.comN/A
2007 Honda civic Hybrid Sedan 4D,"$4,500","Old Bridge, NJ",130K miles,https://www.facebook.comN/A
2009 Honda civic EX Sedan 4D,"$4,600","New York, NY",109K miles,https://www.facebook.comN/A
2008 Honda civic DX Sedan 4D,"$4,800","Deer Park, NY",128K miles,https://www.facebook.comN/A
2006 Honda civic EX Coupe 2D,"$3,000","Levittown, NY",143K miles,https://www.facebook.comN/A
2006 Honda civic LX Sedan 4D,"$2,800","Brooklyn, NY",160K miles,https://www.facebook.comN/A
2002 Honda civic EX Sedan 4D,"$4,000","Stony Point, NY",57K miles,https://www.facebook.comN/A
2010 Honda civic DX Coupe 2D,"$4,500","Jersey City, NJ",93K miles,https://www.facebook.comN/A
2008 Honda civic Hybrid Sedan 4D,"$4,600","Toms River, NJ",121K miles,https://www.facebook.comN/A
2007 Honda civic EX Sedan 4D,"$4,500","Bay Shore, NY",135K miles,https://www.facebook.comN/A
2010 Honda civic EX Sedan 4D,"$4,800","Commack, NY",126K miles,https://www.facebook.comN/A
2007 Honda civic Hybrid Sedan 4D,"$3,799","Yonkers, NY",105K miles,https://www.facebook.comN/A
2010 Honda accord EX-L Coupe 2D,"$2,900","Elizabeth, NJ",149K miles,https://www.facebook.comN/A
2002 Honda civic LX Sedan 4D,"$3,700","Trenton, NJ",109K miles,https://www.facebook.comN/A
2008 Honda civic DX Coupe 2D,"$3,700","Elizabeth, NJ",140K miles,https://www.facebook.comN/A
2007 Honda civic LX Sedan 4D,"$4,450","East Hanover, NJ",162K miles,https://www.facebook.comN/A
2008 Honda civic,"$3,600","Lakewood, NJ",170K miles,https://www.facebook.comN/A
2004 Honda civic LX Sedan 4D,"$4,995","Paramus, NJ",113K miles,https://www.facebook.comN/A
2006 Honda civic,"$4,300","Garnerville, NY",N/A,https://www.facebook.comN/A
2010 Honda civic EX Coupe 2D,"$5,000","Middletown, NJ",109K miles,https://www.facebook.comN/A
2008 Honda civic EX Sedan 4D,"$4,899","Haledon, NJ",87K miles,https://www.facebook.comN/A
2008 Honda civic LX Sedan 4D,"$4,950","East Hanover, NJ",160K miles,https://www.facebook.comN/A
2009 Honda civic Hybrid Sedan 4D,"$4,900","Patchogue, NY",124K miles,https://www.facebook.comN/A
2002 Honda civic LX Sedan 4D,"$2,850","East Hanover, NJ",167K miles,https://www.facebook.comN/A
2007 Honda civic EX Sedan 4D,"$4,220","East Meadow, NY",95K miles,https://www.facebook.comN/A
2009 Honda civic Hybrid Sedan 4D,"$4,750","Clementon, NJ",166K miles,https://www.facebook.comN/A
2000 Honda civic EX Coupe 2D,"$4,680","Bay Shore, NY",180K miles,https://www.facebook.comN/A
2009 Honda civic DX Sedan 4D,"$4,200","Smithtown, NY",160K miles,https://www.facebook.comN/A
2006 Honda civic EX Sedan 4D,"$4,900","Brooklyn, NY",179K miles,https://www.facebook.comN/A
2008 Honda civic LX Coupe 2D,"$4,500","Yonkers, NY",180K miles,https://www.facebook.comN/A
2001 Honda civic EX Coupe 2D,"$4,000","Shirley, NY",134K miles,https://www.facebook.comN/A
2009 Honda civic EX Sedan 4D,"$4,600","Bronx, NY",109K miles,https://www.facebook.comN/A
2007 Honda civic,"$3,850","Piscataway, NJ",160K miles,https://www.facebook.comN/A
2008 Honda civic LX Coupe 2D,"$3,200","Rosedale, NY",99K miles,https://www.facebook.comN/A
2004 Honda civic LX Sedan 4D,"$4,000","Coram, NY",116K miles,https://www.facebook.comN/A
2008 Toyota camry Sedan 4D,"$4,500","Newark, NJ",139K miles,https://www.facebook.comN/A
2007 Honda civic EX Coupe 2D,"$2,850","Bronx, NY",102K miles,https://www.facebook.comN/A
2007 Honda civic LX Sedan 4D,"$4,850","Paterson, NJ",132K miles,https://www.facebook.comN/A
2003 Honda accord EX Sedan 4D,"$4,900","Little Falls, NJ",130K miles,https://www.facebook.comN/A
2003 Honda civic LX Sedan 4D,"$2,000","Newark, NJ",121K miles,https://www.facebook.comN/A
2007 Honda civic LX Sedan 4D,"$4,800","Milford, CT",160K miles,https://www.facebook.comN/A
2007 Honda civic EX Sedan 4D,"$2,500","Monsey, NY",162K miles,https://www.facebook.comN/A
2008 Honda civic LX Sedan 4D,"$4,900","Bronx, NY",103K miles,https://www.facebook.comN/A
2003 Honda civic LX Coupe 2D,"$3,400","Newburgh, NY",149K miles,https://www.facebook.comN/A
2007 Honda civic EX Sedan 4D,"$2,000","Garfield, NJ",75K miles,https://www.facebook.comN/A
2008 Honda civic,"$3,500","Bronx, NY",175K miles,https://www.facebook.comN/A
2003 Honda civic lcx,"$4,300","Hopatcong, NJ",97K miles,https://www.facebook.comN/A
2010 Honda civic LX Sedan 4D,"$5,000","Huntington, NY",150K miles,https://www.facebook.comN/A
2003 Honda civic EX Coupe 2D,"$3,500","Queens Village, NY",150K miles,https://www.facebook.comN/A
2009 Honda accord LX Sedan 4D,"$4,950","Little Falls, NJ",152K miles,https://www.facebook.comN/A
2008 Honda civic LX Coupe 2D,"$3,200","Kingston, NY",166K miles,https://www.facebook.comN/A
2007 Honda civic EX Sedan 4D,"$5,000","Commack, NY",98K miles,https://www.facebook.comN/A
2004 Honda civic LX Sedan 4D,"$1,200","West Nyack, NY",177K miles,https://www.facebook.comN/A
2009 Honda civic DX Sedan 4D,"$4,800","Babylon, NY",147K miles,https://www.facebook.comN/A
2010 Honda civic EX Sedan 4D,"$4,900","Yonkers, NY",102K miles,https://www.facebook.comN/A
2008 Honda civic Hybrid Sedan 4D,"$3,000","Wallington, NJ",112K miles,https://www.facebook.comN/A
2005 Honda civic LX Special Edition Sedan 4D,"$3,599","Bridgeport, CT",123K miles,https://www.facebook.comN/A
2006 Honda civic EX Sedan 4D,"$4,500","Danbury, CT",97K miles,https://www.facebook.comN/A
2008 Honda accord ex-l,"$4,200","Freeport, NY",150K miles,https://www.facebook.comN/A
2009 Honda civic EX Sedan 4D,"$4,900","Brooklyn, NY",103K miles,https://www.facebook.comN/A
2008 Honda civic LX Sedan 4D,"$2,500","Orange, NJ",153K miles,https://www.facebook.comN/A
2008 Honda fit Sport Hatchback 4D,"$3,500","Bridgeport, CT",100K miles,https://www.facebook.comN/A
2008 Honda civic LX Sedan 4D,"$4,950","Dover, NJ",160K miles,https://www.facebook.comN/A
2009 Honda civic,"$5,000","Bronx, NY",104K miles,https://www.facebook.comN/A
2009 Honda civic DX Sedan 4D,"$4,500","Carteret, NJ",160K miles,https://www.facebook.comN/A
2009 Honda civic EX Sedan 4D,"$1,000","New York, NY",140K miles,https://www.facebook.comN/A
2008 Honda civic LX Sedan 4D,"$3,800","Newark, NJ",170K miles,https://www.facebook.comN/A
