Name,Price,Location,Mileage,URL
2008 Honda civic Lx,"$3,100","New York, NY",115K miles,https://www.facebook.com/marketplace/item/1227890891997060/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda accord LX Sedan 4D,"$5,999","Milford, CT",130K miles,https://www.facebook.com/marketplace/item/340141199176029/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic LX Sedan 4D,"$3,780","Middlesex, NJ",N/A,https://www.facebook.com/marketplace/item/1549470709255697/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2001 Honda civic DX Sedan 4D,"$2,700","Freeport, NY",83K miles,https://www.facebook.com/marketplace/item/1934324223749774/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2001 Honda civic EX Coupe 2D,"$1,800","Jersey City, NJ",135K miles,https://www.facebook.com/marketplace/item/1564012567829152/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Honda pilot EX-L Sport Utility 4D,"$3,000","Newburgh, NY",165K miles,https://www.facebook.com/marketplace/item/496930572976105/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda pilot EX Sport Utility 4D,"$2,499","Paterson, NJ",N/A,https://www.facebook.com/marketplace/item/1183106726274206/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda cr-v EX-L Sport Utility 4D,"$4,900","Newtown, PA",182K miles,https://www.facebook.com/marketplace/item/2698145630393711/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda cr-v SE Sport Utility 4D,"$5,700","Bronx, NY",182K miles,https://www.facebook.com/marketplace/item/1222659728914781/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Acura mdx,"$5,500","Lodi, NJ",118K miles,https://www.facebook.com/marketplace/item/1574303596766166/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda civic EX Sedan 4D,"$4,300","Jamaica, NY",92K miles,https://www.facebook.com/marketplace/item/1065930618485514/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Toyota highlander Hybrid Limited Sport Utility 4D,"$4,700","Bensalem, PA",168K miles,https://www.facebook.com/marketplace/item/469879809182411/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004 Acura tsx Sedan 4D,"$5,500","Staten Island, NY",115K miles,https://www.facebook.com/marketplace/item/881986360477592/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda accord EX-L Sedan 4D,"$3,000","Belleville, NJ",150K miles,https://www.facebook.com/marketplace/item/1746614302771575/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Acura tl 3.2 Sedan 4D,"$3,500","New York, NY",80K miles,https://www.facebook.com/marketplace/item/1226033628415724/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda odyssey EX-L Minivan 4D,"$2,000","Little Ferry, NJ",175K miles,https://www.facebook.com/marketplace/item/1617047795522114/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Toyota camry LE Sedan 4D,"$3,999","Newark, NJ",109K miles,https://www.facebook.com/marketplace/item/1554927155456767/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda cr-v SE Sport Utility 4D,"$4,500","Newark, NJ",140K miles,https://www.facebook.com/marketplace/item/805152998472785/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Nissan sentra SV Sedan 4D,"$4,500","Richmond Hill, NY",113K miles,https://www.facebook.com/marketplace/item/1484514649103268/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Acura mdx Sport Utility 4D,"$5,000","Tuckahoe, NY",135K miles,https://www.facebook.com/marketplace/item/518803787340440/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda cr-v EX Sport Utility 4D,"$6,000","Newark, NJ",161K miles,https://www.facebook.com/marketplace/item/513248151202849/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Toyota corolla LE Sedan 4D,"$4,995","New Rochelle, NY",120K miles,https://www.facebook.com/marketplace/item/879899357522817/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda odyssey Touring Minivan 4D,"$5,500","New York, NY",165K miles,https://www.facebook.com/marketplace/item/1155582195556637/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda accord LX Sedan 4D,"$3,999","Roselle, NJ",145K miles,https://www.facebook.com/marketplace/item/1209862600360845/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Hyundai santa fe sport Sport Utility 4D,"$3,200","Bronx, NY",78K miles,https://www.facebook.com/marketplace/item/1020062583126301/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Acura mdx Sport Utility 4D,"$5,900","Bronx, NY",122K miles,https://www.facebook.com/marketplace/item/1640449873468860/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic LX Sedan 4D,"$5,999","Bronx, NY",103K miles,https://www.facebook.com/marketplace/item/1050790043390980/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda accord EX Sedan 4D,"$4,000","Lodi, NJ",184K miles,https://www.facebook.com/marketplace/item/2493386977523157/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda accord LX Sedan 4D,"$4,900","Orangeburg, NY",143K miles,https://www.facebook.com/marketplace/item/466535786355663/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic LX Sedan 4D,"$5,700","Paterson, NJ",163K miles,https://www.facebook.com/marketplace/item/907375671217975/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda civic,"$4,000","Bronx, NY",160K miles,https://www.facebook.com/marketplace/item/329991133441356/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda civic EX-L Sedan 4D,"$5,800","New Brunswick, NJ",79K miles,https://www.facebook.com/marketplace/item/484399921188475/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda element EX Sport Utility 4D,"$2,200","Bethel, CT",155K miles,https://www.facebook.com/marketplace/item/1073492354277428/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda civic EX Sedan 4D,"$3,200","New York, NY",183K miles,https://www.facebook.com/marketplace/item/421541143671703/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Honda pilot EX-L Sport Utility 4D,"$3,500","Plainfield, NJ",128K miles,https://www.facebook.com/marketplace/item/1730045341094951/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda accord LX Sedan 4D,"$5,000","North Bergen, NJ",115K miles,https://www.facebook.com/marketplace/item/1456556018378156/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda odyssey EX-L Minivan 4D,"$5,500","New York, NY",104K miles,https://www.facebook.com/marketplace/item/1037015668428119/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda civic DX Sedan 4D,"$5,999","Elmont, NY",100K miles,https://www.facebook.com/marketplace/item/1006122927832950/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda accord LX Sedan 4D,"$5,999","Woodside, NY",120K miles,https://www.facebook.com/marketplace/item/8413216555356431/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Nissan altima 2.5 S Sedan 4D,"$4,999","Fresh Meadows, NY",117K miles,https://www.facebook.com/marketplace/item/1001354384870755/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda accord,"$5,800","Staten Island, NY",150K miles,https://www.facebook.com/marketplace/item/419362643890168/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda accord EX-L Sedan 4D,"$5,900","New Hyde Park, NY",103K miles,https://www.facebook.com/marketplace/item/3669765863266459/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda accord EX-L Sedan 4D,"$4,650","Middletown, NY",130K miles,https://www.facebook.com/marketplace/item/970222904791950/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Honda accord hybrid Sedan 4D,"$3,500","Alexandria, VA",138K miles,https://www.facebook.com/marketplace/item/485955640958019/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda civic LX Sedan 4D,"$5,999","Huntington Station, NY",125K miles,https://www.facebook.com/marketplace/item/862249242501245/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
